PRCP ID,Statistical Outlier %,Statistical Outlier Score
1000671030,1.85360,1
1000671039,4.03913,1
1000671066,9.16000,1
1000671068,2.29693,1
1000671084,0.33940,3
1000671088,4.26261,1
1000671127,0.46800,3
1000671162,4.45874,1
1000671187, 10.91057,1
1000671218,2.08220,1
1000671223, 10.25468,1
1000671234,2.07824,1
1000671249,0.90168,3
1000671273,0.12000,3
1000671321,6.87941,1
1000671329,1.47935,1
1000671332,5.90801,1
1000671355,1.37028,1
1000671359,2.83854,1
1000671361,6.62465,1
1000671363,7.59900,1
1000671382,1.66980,1
1000671389,2.26078,1
1000671414,1.06068,3
1000671431,3.05832,1
1000671442,0.16170,3
1000671460, 12.03166,1
1000671467,2.62061,1
1000671487, 10.19579,1
1000671488,0.24300,3
1000671496, 12.69806,1
1000671506, 14.09760,1
1000671515,9.24739,1
1000671521,3.38317,1
1000671529,2.37392,1
1000671548,2.58063,1
1000671552,0.79510,3
1000671568,   1065.93866,2
1000671572,5.76630,1
1000671594,4.61575,1
1000671605,0.95315,3
1000671629,0.48658,3
1000671642,3.61088,1
1000671650,0.68930,3
1000671655,0.56188,3
1000671660,8.89719,1
1000671674,4.59169,1
1000671679,5.17196,1
1000671680,1.61878,1
1000671696,6.54435,1
1000671716,7.28646,1
1000671722, 30.08777,1
1000671744,8.50324,1
1000671746,4.59228,1
1000671770,3.22670,1
1000671773,6.55530,1
1000671774, 11.67800,1
1000671784,4.10452,1
1000671788,6.57878,1
1000671790,3.34999,1
1000671791,1.58162,1
1000671793,6.24730,1
1000671794,3.96260,1
1000671797,1.19900,3
1000671798,3.69485,1
1000671808,3.66208,1
1000671812,2.55284,1
1000671816, 10.19129,1
1000671820,6.56287,1
1000671824,7.59139,1
1000671830,2.30508,1
1000671831,7.42621,1
1000671838,4.82203,1
1000671846,8.89731,1
1000671861,5.12012,1
1000671878,6.51920,1
1000671887,1.56055,1
1000671899,5.14890,1
1000671904,2.21195,1
1000671922,1.06841,3
1000671926,2.46698,1
1000671942,3.89350,1
1000671964, 23.51478,1
1000671966, 43.04220,2
1000671974,1.67344,1
1000671981, 29.17068,1
1000671990,0.59370,3
1000671991, 14.54489,1
1000672000, 16.47993,1
1000672078,0.59314,3
1000672079,   1048.59598,2
1000672082,1.73152,1
1000672118,3.76471,1
1000672119,6.31926,1
1000672121,1.39690,1
1000672122, 15.22110,1
1000672130,1.15517,3
1000672144, 55.78848,2
1000672151,1.13580,3
1000672160, 27.77560,1
1000672162,6.47379,1
1000672172, 12.26242,1
1000672178, 18.13836,1
1000672179,6.47929,1
1000672195, 25.32960,1
1000672197,7.38489,1
1000672211, 12.04726,1
1000672212,5.52826,1
1000672272,2.29584,1
1000672294,9.97561,1
1000672299,2.21776,1
1000672313,2.88722,1
1000672315,0.64030,3
1000672321,3.22064,1
1000672324,9.24911,1
1000672333,2.93755,1
1000672334, 15.06174,1
1000672335,3.81747,1
1000672343,3.65590,1
1000672357, 16.65900,1
1000672362, 14.38313,1
1000672381,2.92057,1
1000672387,5.18641,1
1000672400, 10.57679,1
1000672456,1.75715,1
1000672465, 57.64093,2
1000672479, 16.88890,1
1000672483,1.73080,1
1000672488,2.14900,1
1000672501,0.51540,3
1000672505, 12.45665,1
1000672508, 24.14100,1
1000672510,0.60801,3
1000672514,2.71184,1
1000672530, 24.90361,1
